title,netflixId,image,link,categories,watched,imdb_id,imdb_rating,imdb_votes,year,rated,runtime,genres,director,actors,plot,awards,imdb_poster,content_type,total_seasons,type,imdb_rating_numeric,imdb_votes_numeric
"Love, Death & Robots",80174608,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABQXPuPYvmKwoNzwX0mpEfsC1NCWyBavHDmTA_QhTZ2YL7oMik4XwR9Z_P1OYlSu8Dc1WehmQhnc4JrXBG-tlKMM-kdRyXVOQFN8.jpg?r=c10,https://www.netflix.com/watch/80174608?tctx=13%2C39%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80174608%2C,"['Emmy-Winning TV Shows', 'US TV Thrillers']",False,tt9561862,8.4,"224,813",2019–,TV-MA,15 min,"Animation, Short, Action",N/A,"Fred Tatasciore, Scott Whyte, Emily O'Brien","A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.",Won 17 Primetime Emmys. 32 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BZDY3OTZiYzktN2U5My00MzRhLWJiZjItZjNlZmM3OGViZmFiXkEyXkFqcGc@._V1_SX300.jpg,,4,series,8.4,224813
Naruto,70205012,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABUMeRy-pleJv4DXuphLcwuravAf7tcbeQgwtTYOmLW5LQ20ecpo6QFyTY_lV1Tvf1Xh_dL4q893LjHZGLusDZXe-41fQeSZL2LA.webp?r=f87,https://www.netflix.com/watch/70205012?tctx=22%2C37%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A70205012%2C,['Exciting TV Shows'],False,tt0409591,8.4,"159,781",2002–2007,TV-PG,24 min,"Animation, Action, Adventure",N/A,"Maile Flanagan, Junko Takeuchi, Kate Higgins","Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja.",1 win total,https://m.media-amazon.com/images/M/MV5BZTNjOWI0ZTAtOGY1OS00ZGU0LWEyOWYtMjhkYjdlYmVjMDk2XkEyXkFqcGc@._V1_SX300.jpg,,1,series,8.4,159781
Suits,70195800,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABci5DXOH6U2w4tVYHjonXiePISVvSd67AeHLDLam0XdAemJ33ayA8Jj89k3k2uSvthyyQL9n6EgIzv_Ui0-PZBqGIfGzcnueQBA.webp?r=7b8,https://www.netflix.com/watch/70195800?tctx=8%2C1%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A70195800%2C,['Capricorns Activate Boss Mode'],False,tt1632701,8.4,"527,386",2011–2019,TV-14,44 min,"Comedy, Drama",N/A,"Gabriel Macht, Rick Hoffman, Sarah Rafferty","On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.",1 win & 9 nominations total,https://m.media-amazon.com/images/M/MV5BYmE4MmNjZjUtNTEyNy00NTZiLWE4NTktYjM2NjBhYzQ1N2IzXkEyXkFqcGc@._V1_SX300.jpg,,9,series,8.4,527386
Senna,81068725,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABR6eeG3SgyXwZCeMzAyNBGMEQIS55YsXnrCFoaGMl-Bd0C3WOUhOdbOVAN-kXI5Skd8zAahcfZZut0Ma6HO1jmHJctvPAVKXMwc.jpg?r=cd3,https://www.netflix.com/watch/81068725?tctx=22%2C19%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A81068725%2C,"['Exciting TV Shows', 'Action TV']",False,tt1424432,8.4,"83,203",2010,PG-13,106 min,"Documentary, Biography, Sport",Asif Kapadia,"Ayrton Senna, Reginaldo Leme, John Bisignano","A documentary on Brazilian Formula One racing driver Ayrton Senna, who won the F1 world championship three times before his death at age 34.",Won 2 BAFTA 20 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BMTc5MTUzOTAxMl5BMl5BanBnXkFtZTcwODQzMjg3NA@@._V1_SX300.jpg,,,movie,8.4,83203
Top Boy,80217669,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABXQv-bPlJNGJgXFEMwj3WO0DG1gsG_-604ZkOUG9syUtgp-JpJ7i0RCLOyEmovAZ0OsQ1m3sp6SrWP6ffeWg7mR3kikX3taM2xk.jpg?r=fa7,https://www.netflix.com/watch/80217669?tctx=29%2C23%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80217669%2C,['Critically Acclaimed Crime TV Dramas'],False,tt1830379,8.4,"46,706",2011–2023,TV-MA,1 min,"Crime, Drama, Thriller",N/A,"Ashley Walters, Kano, Jasmine Jobson",A group of young people living on edge and out of sight in the crime-riddled area of East London today.,Won 4 BAFTA 9 wins & 30 nominations total,https://m.media-amazon.com/images/M/MV5BNzIxNjNkYjctMzkyYy00ZGE0LTgzMTQtZDczZWY5NWEwNDdjXkEyXkFqcGc@._V1_SX300.jpg,,5,series,8.4,46706
Cobra Kai,81002370,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABdODpOZ7yg5fZowRcGmQ4OIHd370Rak9Qx2ce0Y9qV6vo4BNo_EbkBFiD1O3FbwPUxTmhqSQZodGOA32xztn2v-IQ6b_CcyghpU.jpg?r=201,https://www.netflix.com/watch/81002370?tctx=18%2C11%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A81002370%2C,"['TV Dramas', 'Exciting TV Shows', 'Only on Netflix', 'Action TV', 'US TV Shows Dubbed in Hindi']",False,tt7221388,8.4,"237,442",2018–2025,TV-14,30 min,"Action, Comedy, Drama",N/A,"Ralph Macchio, William Zabka, Courtney Henggeler","Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",Nominated for 11 Primetime Emmys. 8 wins & 72 nominations total,https://m.media-amazon.com/images/M/MV5BYjA3NDkwNzktNjJkYi00ODNhLWFhYzQtYzk5NjU4MDM0OWZmXkEyXkFqcGc@._V1_SX300.jpg,,6,series,8.4,237442
Spartacus,70136152,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABfRQcmXkQzV-EkNFMFtFEPt50UjcOE4t0quHqiygHD1d3q6LQtGcio6gD-NgBTY0X8jxzVqznyl9bMla_vQDayfOObPDM7mLckk.webp?r=ac6,https://www.netflix.com/watch/70136152?tctx=34%2C15%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A70136152%2C,['Action TV'],False,tt1442449,8.4,"292,413",2010–2013,TV-MA,55 min,"Action, Adventure, Biography",N/A,"Andy Whitfield, Lucy Lawless, Manu Bennett","The life of Spartacus, the gladiator who led a rebellion against the Romans.",4 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BNTc4ZjlkNjUtOWZlMS00ODQ0LTg2MWUtMjBkNjMwOTJkOWZmXkEyXkFqcGc@._V1_SX300.jpg,,3,series,8.4,292413
Dangal,80166185,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABVg14abqmv2XkyGfzII0zahR9xi_qOwFNxNb2-ewfxG7mPbCFYy-zT8Lp8HeGAWmy75UclOIquZA7_ql0muljKVdV7syBNkii8ghlBlBZQjNEcdhEUj1LGpowxvaulSfRrp4O3Wg7D1_v9VqQWSrlIlMNw0TV3oyezA.webp?r=012,https://www.netflix.com/watch/80166185?tctx=14%2C1%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80166185%2C,"['Award Winning Drama Movies', 'Top 10 Movies in India Today', 'Because you watched Dabba Cartel']",False,tt5074352,8.3,"237,463",2016,Not Rated,161 min,"Action, Biography, Drama",Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh","Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas.",41 wins & 38 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_SX300.jpg,,,movie,8.3,237463
3%,80074220,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABRaY1Gl6Y5HABKGMP2HTfSp9v-03_dVbAB-Et85rClKi3kTLPPmFEHN5CHulvqbB8becxxNBKJ_F0-oMsFqyLutZfaT2D7TY50w.jpg?r=f8b,https://www.netflix.com/watch/80074220?tctx=2%2C23%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80074220%2C,"['Now Leaving Hawkins, Indiana', 'Sci-Fi TV']",False,tt0435761,8.3,"956,088",2010,G,103 min,"Animation, Adventure, Comedy",Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",Won 2 Oscars. 63 wins & 96 nominations total,https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_SX300.jpg,,,movie,8.3,956088
Good Will Hunting,17405997,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABff15rJXI4qPtITwLswif_XkW4FIpguuYkeW2_nX7UKqJ1ggdxi6M3lCEyPGpRnITL0vxfru5jZCY5NB1fFxIr1jb0XrtEgldRc.webp?r=44b,https://www.netflix.com/watch/17405997?tctx=14%2C27%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A17405997%2C,"['Award Winning Drama Movies', 'Because you liked Gilmore Girls', 'Award-Winning Films']",False,tt0119217,8.3,"1,186,230",1997,R,126 min,"Drama, Romance",Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck","A therapist counsels Will Hunting, a janitor with a genius IQ.",Won 2 Oscars. 25 wins & 61 nominations total,https://m.media-amazon.com/images/M/MV5BNDdjZGQ5YzEtNTc2My00Mjc0LWFlMTctYzkwMzZlNzdiZWYzXkEyXkFqcGc@._V1_SX300.jpg,,,movie,8.3,1186230
Kingdom,81678097,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABTi2B4o9XQ7hnSK5G2whJjniy2pOZggzALBfrVmuS7k-TepEWxX9URfbfVBZyvxQ_ATYUoWKcDB6CWVCJYHPrTQOjO8jHEvN5qg.webp?r=145,https://www.netflix.com/watch/81678097?tctx=26%2C28%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A81678097%2C,['Because you watched Dabba Cartel'],False,tt6611916,8.3,"61,329",2019–2020,TV-MA,45 min,"Action, Drama, Horror",N/A,"Ju Ji-hoon, Bae Doona, Kim Sungkyu","While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",N/A,https://m.media-amazon.com/images/M/MV5BYWQyMDQyYzItYWFhNi00YmViLTkwZTctY2M2NjEyNDJmNGQ5XkEyXkFqcGc@._V1_SX300.jpg,,2,series,8.3,61329
Castlevania,80095241,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABXVilJoWTxoFgjajJXECBBu3vOVpebv_vgj4o-Qoad2IlM8vnwiAi6Jr_cbJETSVfb0avq6mg7ozYM6jBmlFKKAF--P4CnGLTRA.jpg?r=d17,https://www.netflix.com/watch/80095241?tctx=24%2C39%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80095241%2C,['Horror TV Serials'],False,tt6517102,8.3,"92,217",2017–2021,TV-MA,23 min,"Animation, Action, Adventure",N/A,"Richard Armitage, James Callis, Alejandra Reynoso",A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.,3 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMjAzMjU2MjYzMl5BMl5BanBnXkFtZTgwNTQ4Nzk1NjM@._V1_SX300.jpg,,4,series,8.3,92217
Narcos: Mexico,80997085,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABYIvZ8qsVnEq_T4u7uTxaOAoWdlKlh19i8oqnpqzunkZISvTIvjO3IR0qLNtg2PaOnb82xO0jyRjzAglNN1GXRXvYCUbmlGwQZA.jpg?r=b38,https://www.netflix.com/watch/80997085?tctx=4%2C11%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80997085%2C,"['Criminal Investigation TV Shows', 'TV Dramas', 'Exciting TV Shows', 'Only on Netflix', 'US TV Thrillers', 'Critically Acclaimed TV Dramas', 'Action TV', 'US TV Shows Dubbed in Hindi']",False,tt8714904,8.3,"99,874",2018–2021,TV-MA,2 min,"Biography, Crime, Drama",N/A,"Scoot McNairy, José María Yazpik, Alejandro Edda",The rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in Mexico.,4 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BM2FkZGQyODItOGFlNy00ZDA1LWFjMTEtMGUyYzk0ZDYzNmRjXkEyXkFqcGc@._V1_SX300.jpg,,3,series,8.3,99874
Fauda,80113612,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABYsBnQpIdk5B4qEMwvXeVOIIbAI0Jt2CZ-BLrkF3gKzNPHsOPs0da-uR8AiAb2PH491mbOQb4G-X7Elnm2_2gx6VPCHhdC-IQxE.jpg?r=e79,https://www.netflix.com/watch/80113612?tctx=17%2C23%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80113612%2C,"['So Completely Captivating', 'Critically Acclaimed TV Dramas']",False,tt4565380,8.3,"41,611",2015–,TV-MA,1 min,"Action, Crime, Drama",N/A,"Lior Raz, Itzik Cohen, Netta Garti",The human stories on both sides of the Israel-Palestine conflict.,15 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BZDNjNzhmM2ItYWM4Ni00ZThjLWE4N2YtODQ1MzRiYWQ0YzBlXkEyXkFqcGc@._V1_SX300.jpg,,4,series,8.3,41611
Chainsaw Man,81215627,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABX8gnJo_jAQ974nEoESMx0PQ4t2Aw7Yh6KX0r-Mfqyqboi7FNrvb1Uj1dayl6nyGpy2ZWa5b9gmWhlSAQUWeoW2m3ub_2wNiuYA.webp?r=2a8,https://www.netflix.com/watch/81215627?tctx=22%2C28%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A81215627%2C,"['Exciting TV Shows', 'Action TV']",False,tt13616990,8.3,"92,240",2022,TV-MA,N/A,"Animation, Action, Comedy",N/A,"Kikunosuke Toya, Ryan Colt Levy, Tomori Kusunoki","Following a betrayal, a young man left for dead is reborn as a powerful devil-human hybrid after merging with his pet devil and is soon enlisted into an organization dedicated to hunting devils.",10 wins & 33 nominations total,https://m.media-amazon.com/images/M/MV5BZGY2ZTM2MWMtNzA2OS00ZjJlLWIwZTMtMDBhN2EwYjZjZjEyXkEyXkFqcGc@._V1_SX300.jpg,,1,series,8.3,92240
Unbelievable,80153467,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABWKmsC6gVzVizMyZ0eV57hI8ZETltk86MOG7d_6xWYRDB4TzrHbBFfNET2qrusFnwCD0P6tZwh2PIepQxGG-a_4rERmkgDZzOmg.jpg?r=052,https://www.netflix.com/watch/80153467?tctx=4%2C18%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80153467%2C,"['Criminal Investigation TV Shows', 'Award-Winning TV Shows', 'Critically Acclaimed Crime TV Dramas']",False,tt7909970,8.3,"134,450",2019,TV-MA,385 min,"Crime, Drama",N/A,"Kaitlyn Dever, Toni Collette, Merritt Wever","A teenager is charged with lying about being raped, but two detectives follow the path to the truth.",Nominated for 4 Primetime Emmys. 5 wins & 37 nominations total,https://m.media-amazon.com/images/M/MV5BNTNhOTViZWYtY2UyMS00ZjkwLTljMzUtYzkwMTM5MDFkYjQ5XkEyXkFqcGc@._V1_SX300.jpg,,1,series,8.3,134450
Maid,81166770,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABSc7mbJP7VwTee4r_94693vs6G6JBGCC-NGAk0dkRIh1KDITsRY-ZUUG7IxwgUiiytbUAKqZ1CAztCJ38Ej0OxwgLsP6wbPxk6s.jpg?r=705,https://www.netflix.com/watch/81166770?tctx=31%2C2%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A81166770%2C,['Critically Acclaimed TV Dramas'],False,tt11337908,8.3,"115,584",2021,TV-MA,N/A,Drama,N/A,"Margaret Qualley, Nick Robinson, Rylea Nevaeh Whittet","After fleeing an abusive relationship, a young mother finds a job cleaning houses as she fights to provide for her child and build them a better future.",Nominated for 3 Primetime Emmys. 7 wins & 37 nominations total,https://m.media-amazon.com/images/M/MV5BNGQ2NWU5YmQtZWJjMS00N2VkLTljMTItZDM4ZWRhM2FkYTNmXkEyXkFqcGc@._V1_SX300.jpg,,1,series,8.3,115584
Jurassic Park,60002360,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABa3Cp04eSk6x2e9WEGvpjw3lJZKfUGu0cF7MGY9J-HSid7iRgijGQ87IloiUNuGkSNRekw2wpG3Env4iQfxooqWQat2LzEi3h80.webp?r=26c,https://www.netflix.com/watch/60002360?tctx=11%2C37%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A60002360%2C,"['Acclaimed Writers', 'Award-Winning Films']",False,tt0107290,8.2,"1,157,660",1993,PG-13,127 min,"Action, Adventure, Sci-Fi",Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum","An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.",Won 3 Oscars. 44 wins & 27 nominations total,https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_SX300.jpg,,,movie,8.2,1157660
Kim's Convenience,80199128,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABWuMfiswQt6KoRqjRdyJdm5DovBuAeWAgUlNqYQ0j915A8t0C4Y177X_gYaDv1c0lGEpbMqIJvY7FHKHc_IiJGuybuUgGzjAx0U.webp?r=427,https://www.netflix.com/watch/80199128?tctx=9%2C3%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80199128%2C,"['Wanna Feel Like It’ll All Work Out?', 'Award-Winning TV Shows']",False,tt5912064,8.2,"27,597",2016–2021,TV-14,22 min,Comedy,N/A,"Paul Sun-Hyung Lee, Jean Yoon, Andrea Bang",The misadventures of a Korean-Canadian family running a convenience store.,29 wins & 69 nominations total,https://m.media-amazon.com/images/M/MV5BZDQxNzYyMTgtOTJmNy00ZjE3LTk0YTctMTZlZDI3OThkNDNlXkEyXkFqcGc@._V1_SX300.jpg,,5,series,8.2,27597
Little Things,81011159,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABQ0cRzaABoPH5lRd56d6cWjUffUvk6onDW0Au3DdJj5wztIcQ27cHQrClWX95sUlPwhRVSoBshpzVfTQw19y5INOn4x6Kl4OwtU.jpg?r=7de,https://www.netflix.com/watch/81011159?tctx=9%2C22%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A81011159%2C,"['Wanna Feel Like It’ll All Work Out?', 'Critically Acclaimed TV Dramas']",False,tt6522580,8.2,"8,073",2016–,TV-MA,16 min,"Comedy, Romance",N/A,"Dhruv Sehgal, Mithila Palkar, Gita Guha","A cohabiting couple in their 20s navigate the ups and downs of work, modern-day relationships and finding themselves in contemporary Mumbai.",10 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BZjE1YzUxNGYtMjVhZi00NWNjLTlmYzEtMzI3YTdhMGEwMjNkXkEyXkFqcGc@._V1_SX300.jpg,,5,series,8.2,8073
The Glory,81519223,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABX1DWBlKlvE17u9pWQG1gsrsrLEWd_uNZFd9dl2mPPsNbZlzL47JbrrvkvXo4-9wGxLDRnI-SCS4DUs4IrAZaKWACCdkfO1r6ZQ.jpg?r=3d2,https://www.netflix.com/watch/81519223?tctx=31%2C34%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A81519223%2C,['Critically Acclaimed TV Dramas'],False,tt21344706,8.2,"41,526",2022–2023,TV-MA,N/A,"Drama, Mystery, Thriller",N/A,"Aria Song, Harrison Xu, Jona Xiao",A woman lives for absolute revenge against her childhood bullies who destroyed her life.,6 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BODM0ZTc5YTAtZmMxNi00YzJkLWEzODItZDczZTRlNTc1NGE3XkEyXkFqcGc@._V1_SX300.jpg,,1,series,8.2,41526
Taxi Driver,81552615,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABWePjvL0ygp2g0EXP2Exp9gRX43eIEZKuX7l2W8zYqv-nrJ31Sg_2qPL6NLzoP6Ee--0LtgYw1kqC6yTnSFvLEVQK4DmTbmXnKk.webp?r=82c,https://www.netflix.com/watch/81552615?tctx=22%2C24%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A81552615%2C,['Exciting TV Shows'],False,tt0075314,8.2,"1,008,829",1976,R,114 min,"Crime, Drama",Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",Nominated for 4 Oscars. 22 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BZDNhMGYwM2UtMTdlZS00MGQ1LWI2YzAtODY5YWI1MjYyNzRmXkEyXkFqcGc@._V1_SX300.jpg,,,movie,8.2,1008829
Gilmore Girls,70155618,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABTUwnavi_0kiOSJtPWE9adabX9OM29niecI21O-g5fPNQ_NvFwlu4B42FXcsbQKG_eWy1KxHJ80hbgEewLMyykAL_TaEYr3OkFI.webp?r=447,https://www.netflix.com/watch/70155618?tctx=3%2C3%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A70155618%2C,"['Recovery-mode Recommendations', 'Acclaimed Writers', 'TV Dramas']",False,tt0238784,8.2,"170,412",2000–2007,TV-PG,57S min,"Comedy, Drama",N/A,"Lauren Graham, Alexis Bledel, Melissa McCarthy","A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.",Won 1 Primetime Emmy. 23 wins & 85 nominations total,https://m.media-amazon.com/images/M/MV5BMzM2OGZjMTItNzc2OS00YzA4LWE0ZTUtYzE5NjU0MTIyZjcyXkEyXkFqcGc@._V1_SX300.jpg,,7,series,8.2,170412
Sex Education,80197526,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABYcZq7aJhUAn7C23av6sCvrcJ713KTXNi_G3yQvnDXg06RtjP9TGnDVxOerKOHSq6gJuiRVVB-PPH9OSwL78eVdRozgTM8iqOuc.jpg?r=c42,https://www.netflix.com/watch/80197526?tctx=15%2C4%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80197526%2C,['Award-Winning TV Shows'],False,tt7767422,8.2,"390,438",2019–2023,TV-MA,45 min,"Comedy, Drama, Romance",N/A,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa",A teenage boy with a sex-therapist mother teams up with a high-school classmate to set up an underground sex-therapy clinic at school.,Won 1 BAFTA Award20 wins & 63 nominations total,https://m.media-amazon.com/images/M/MV5BOTE0MjQ1NDU3OV5BMl5BanBnXkFtZTgwNTI4MTgwNzM@._V1_SX300.jpg,,4,series,8.2,390438
SPY x FAMILY,81511410,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABc8W809nriZV-N1gXYKMgN3EGCgoELkYJafGsZGYfudUGEaj4197OgZB3kAgCjC2w07ULFne2R3UdiJOEKQoxlMCgoTNGVVyrOLgC1FWNORTO2_hj2UUIrPLFRJPgRyD8dzsZ7A0CI8uFhdQvo31BiMEeucAuK46W5PLljIL8lisFWTuUvFxiF0Lv6Zj7GW05nsq6Qw7SM7x492-iG6-4sPMMM4GHHICUV4agLEeI6x4sRJIPE5OJSqhGpbGvtQk0eiNBopibRHC97dCTiQUr4gsQnE2_wGwy3uJHQlfkdSkHbwPGrJfLKbgeEP4.webp?r=577,https://www.netflix.com/watch/81511410?tctx=22%2C10%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A81511410%2C,"['Exciting TV Shows', 'Action TV']",False,tt13706018,8.2,"57,858",2022–,TV-14,N/A,"Animation, Action, Comedy",N/A,"Atsumi Tanezaki, Takuya Eguchi, Saori Hayami","A spy on an undercover mission gets married and adopts a child as part of his cover. His wife and daughter have secrets of their own, and all three must strive to keep together.",19 wins & 53 nominations total,https://m.media-amazon.com/images/M/MV5BZDkwNjc0NWEtNzJlOC00N2YwLTk4MjktZGFlZDE2Y2QzOWI0XkEyXkFqcGc@._V1_SX300.jpg,,3,series,8.2,57858
Black Clover,80238012,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABahQ9eOKWRg5lClKMFvofOUMSthz773MU_VUkXpaoosad7sAaIyylqMAGIyPE9sjLiFPsHvCJTAD7Rbastm0PxCG91cXC8If2K4.webp?r=567,https://www.netflix.com/watch/80238012?tctx=22%2C30%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80238012%2C,"['Exciting TV Shows', 'Action TV']",False,tt7441658,8.2,"45,216",2017–2021,TV-PG,24 min,"Animation, Action, Adventure",N/A,"Dallas Reid, Gakuto Kajiwara, Jill Harris","Asta and Yuno were abandoned together at the same church and have been inseparable since. As children, they promised that they would compete against each other to see who would become the next Emperor Magus.",3 nominations total,https://m.media-amazon.com/images/M/MV5BZmZkZjNhMWMtM2U0Mi00MjdlLTk3NmMtMTMwZjgwOTJmODMzXkEyXkFqcGc@._V1_SX300.jpg,,4,series,8.2,45216
